model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
cnn_lstm,BTC,1d,0,0.0008788715349510312,0.00043788281618617475,0.0035497810843387067,1.1
cnn_lstm,BTC,1d,1,0.0006849727942608297,0.0003905556513927877,0.0035491243913689905,0.57
cnn_lstm,BTC,1d,2,0.0006794877117499709,0.0003778737736865878,0.003548030083120016,0.56
cnn_lstm,BTC,1d,3,0.0006803324213251472,0.0003778461832553148,0.003546498429595968,0.56
cnn_lstm,BTC,1d,4,0.0006806827150285244,0.0003795535594690591,0.0035445298087094356,0.62
cnn_lstm,BTC,1d,5,0.000680929166264832,0.0003816057578660548,0.0035421247061881655,3.83
cnn_lstm,BTC,1d,6,0.0006810705526731908,0.00038357911398634315,0.0035392837154552166,0.61
cnn_lstm,BTC,1d,7,0.0006810952909290791,0.0003853123926091939,0.003536007537482541,0.62
cnn_lstm,BTC,1d,8,0.0006810380145907402,0.0003867514315061271,0.003532296980618031,0.61
cnn_lstm,BTC,1d,9,0.0006809346377849579,0.0003879049327224493,0.0035281529603860716,0.62
cnn_lstm,BTC,1d,10,0.000680811470374465,0.0003888113424181938,0.003523576499261646,0.84
cnn_lstm,BTC,1d,11,0.0006806844612583518,0.00038951693568378687,0.0035185687264180578,0.56
cnn_lstm,BTC,1d,12,0.000680561934132129,0.00039006455335766077,0.003513130877448323,0.56
cnn_lstm,BTC,1d,13,0.0006804480217397213,0.00039048961480148137,0.003507264294060307,0.57
cnn_lstm,BTC,1d,14,0.0006803447031415999,0.0003908202925231308,0.0035009704237456765,0.55
cnn_lstm,BTC,1d,15,0.0006802518619224429,0.000391078123357147,0.0034942508194227553,0.57
cnn_lstm,BTC,1d,16,0.000680169032420963,0.00039127955096773803,0.0034871071390533623,0.56
cnn_lstm,BTC,1d,17,0.0006800956325605512,0.0003914371773134917,0.0034795411452337353,0.54
