epoch,grad_norm_max,grad_norm_mean,loss_dir,loss_huber,loss_mse,lr-Adam,step,test_loss,train_loss,val_loss
19,,,0.5319259762763977,0.0021763616241514683,0.0043527232483029366,,1279,,0.1092144250869751,
,,,,,,0.0009755527298894296,1280,,,
20,0.04260595142841339,0.009699685499072075,,,,,1289,,,
20,0.06739591062068939,0.013744143769145012,,,,,1299,,,
20,0.023024313151836395,0.004578282590955496,,,,,1309,,,
20,0.3174824118614197,0.09114529937505722,,,,,1319,,,
20,0.045659154653549194,0.011425396427512169,,,,,1329,,,
20,0.17578443884849548,0.05332775041460991,,,,,1339,,,
20,,,,,,,1343,,,0.12670156359672546
20,,,0.5226952433586121,0.0023680939339101315,0.004736187867820263,,1343,,0.1076175794005394,
,,,,,,0.0009730696367343592,1344,,,
21,,,,,,,1407,,,0.12346102297306061
21,,,0.508446991443634,0.0035844112280756235,0.007168822456151247,,1407,,0.10634914040565491,
,,,,,,0.0009704699440926359,1408,,,
22,,,,,,,1471,,,0.130238875746727
22,,,0.5154320597648621,0.001780287129804492,0.003560574259608984,,1471,,0.10540077835321426,
,,,,,,0.0009677542933995191,1472,,,
23,,,,,,,1535,,,0.11736692488193512
23,,,0.5236064195632935,0.0023317087907344103,0.004663417581468821,,1535,,0.10775250941514969,
,,,,,,0.0009649233547011819,1536,,,
24,,,,,,,1599,,,0.11799653619527817
24,,,0.5200845003128052,0.0028328769840300083,0.005665753968060017,,1599,,0.10769966244697571,
,,,,,,0.000961977826489388,1600,,,
25,,,,,,,1663,,,0.11877315491437912
25,,,0.5224789977073669,0.0027703093364834785,0.005540618672966957,,1663,,0.10809720307588577,
,,,,,,0.0009589184355291488,1664,,,
26,,,,,,,1727,,,0.11465264111757278
26,,,0.49816974997520447,0.002248184522613883,0.004496369045227766,,1727,,0.10255660116672516,
,,,,,,0.0009557459366794051,1728,,,
27,,,,,,,1791,,,0.10943553596735
27,,,0.502990186214447,0.0018859794363379478,0.0037719588726758957,,1791,,0.10304980725049973,
,,,,,,0.000952461112706777,1792,,,
28,,,,,,,1855,,,0.11043442040681839
28,,,0.5155648589134216,0.0020903199911117554,0.004180639982223511,,1855,,0.10583037883043289,
,,,,,,0.0009490647740924278,1856,,,
29,,,,,,,1919,,,0.1398698091506958
29,,,0.5239646434783936,0.0019912493880838156,0.003982498776167631,,1919,,0.10738156735897064,
,,,,,,0.00094555775883209,1920,,,
30,0.027470195665955544,0.006563045550137758,,,,,1929,,,
30,0.028230231255292892,0.00579261127859354,,,,,1939,,,
30,0.012828577309846878,0.002727628918364644,,,,,1949,,,
30,0.14828446507453918,0.04538252577185631,,,,,1959,,,
30,0.0680152177810669,0.017264004796743393,,,,,1969,,,
30,0.05986424535512924,0.019253045320510864,,,,,1979,,,
30,,,,,,,1983,,,0.1104755774140358
30,,,0.5322144031524658,0.002070034621283412,0.004140069242566824,,1983,,0.10913391411304474,
,,,,,,0.0009419409322293028,1984,,,
31,,,,,,,2047,,,0.11648102849721909
31,,,0.5145769119262695,0.002102144993841648,0.004204289987683296,,2047,,0.10564819723367691,
,,,,,,0.0009382151866819101,2048,,,
32,,,,,,,2111,,,0.1082664206624031
32,,,0.5305487513542175,0.0025039392057806253,0.005007878411561251,,2111,,0.10936486721038818,
,,,,,,0.0009343814414618769,2112,,,
33,,,,,,,2175,,,0.19147005677223206
33,,,0.5263320803642273,0.004689989145845175,0.00937997829169035,,2175,,0.11136341840028763,
,,,,,,0.0009304406424884702,2176,,,
34,,,,,,,2239,,,0.14671018719673157
34,,,0.5181368589401245,0.0031257793307304382,0.0062515586614608765,,2239,,0.10769090801477432,
,,,,,,0.0009263937620948695,2240,,,
35,,,,,,,2303,,,0.12482844293117523
35,,,0.5073865056037903,0.002037962432950735,0.00407592486590147,,2303,,0.10412663221359253,
,,,,,,0.000922241798788257,2304,,,
36,,,,,,,2367,,,0.11562779545783997
36,,,0.5053734183311462,0.0025625925045460463,0.0051251850090920925,,2367,,0.10440608859062195,
,,,,,,0.0009179857770034514,2368,,,
37,,,,,,,2431,,,0.11193224787712097
37,,,0.5131940841674805,0.0031854433473199606,0.006370886694639921,,2431,,0.10677987337112427,
,,,,,,0.000913626746850144,2432,,,
38,,,,,,,2495,,,0.12721148133277893
38,,,0.5109962821006775,0.0025923410430550575,0.005184682086110115,,2495,,0.10556931793689728,
,,,,,,0.0009091657838537996,2496,,,
39,,,,,,,2559,,,0.1112191453576088
39,,,0.527610182762146,0.0010323537280783057,0.0020647074561566114,,2559,,0.1068640947341919,
,,,,,,0.0009046039886902867,2560,,,
40,0.09098951518535614,0.018287820741534233,,,,,2569,,,
40,0.004660837352275848,0.0013129637809470296,,,,,2579,,,
40,0.0017528383759781718,0.0007883546641096473,,,,,2589,,,
40,0.11085374653339386,0.030593009665608406,,,,,2599,,,
