epoch,grad_norm_max,grad_norm_mean,loss_dir,loss_huber,loss_mse,lr-Adam,step,test_loss,train_loss,val_loss
,,,,,,0.001,0,,,
0,0.33959847688674927,0.12829510867595673,,,,,9,,,
0,0.032451331615448,0.011868316680192947,,,,,19,,,
0,0.10395680367946625,0.03752772882580757,,,,,29,,,
0,0.036781106144189835,0.013496588915586472,,,,,39,,,
0,0.08866662532091141,0.031055070459842682,,,,,49,,,
0,0.07097639888525009,0.023732611909508705,,,,,59,,,
0,,,,,,,63,,,0.12821397185325623
0,,,0.5343587398529053,0.01173789519816637,0.02347579039633274,,63,,0.12213103473186493,
,,,,,,0.0009999383779245895,64,,,
1,,,,,,,127,,,0.13171066343784332
1,,,0.5418540835380554,0.006646232213824987,0.013292464427649975,,127,,0.1170109361410141,
,,,,,,0.000999753526902683,128,,,
2,,,,,,,191,,,0.12409280985593796
2,,,0.5050356984138489,0.0066973259672522545,0.013394651934504509,,191,,0.10971366614103317,
,,,,,,0.0009994454925435043,192,,,
3,,,,,,,255,,,0.11976175755262375
3,,,0.5235048532485962,0.005556907970458269,0.011113815940916538,,255,,0.11192499846220016,
,,,,,,0.000999014350849922,256,,,
4,,,,,,,319,,,0.12079425901174545
4,,,0.5468472242355347,0.005342668853700161,0.010685337707400322,,319,,0.11631491780281067,
,,,,,,0.0009984602081996978,320,,,
5,,,,,,,383,,,0.1230924054980278
5,,,0.5253345966339111,0.0052049835212528706,0.010409967042505741,,383,,0.11183339357376099,
,,,,,,0.0009977832013192388,384,,,
6,,,,,,,447,,,0.12070178240537643
6,,,0.5081663727760315,0.005216538906097412,0.010433077812194824,,447,,0.10841475427150726,
,,,,,,0.0009969834972498627,448,,,
7,,,,,,,511,,,0.12101876735687256
7,,,0.4887131154537201,0.005361428949981928,0.010722857899963856,,511,,0.10471246391534805,
,,,,,,0.000996061293306582,512,,,
8,,,,,,,575,,,0.1185346245765686
8,,,0.514708936214447,0.005460189189761877,0.010920378379523754,,575,,0.11004002392292023,
,,,,,,0.0009950168170294207,576,,,
9,,,,,,,639,,,0.12072654813528061
9,,,0.5274314284324646,0.005499404855072498,0.010998809710144997,,639,,0.11263549327850342,
,,,,,,0.0009938503261272716,640,,,
10,0.0708111822605133,0.021991528570652008,,,,,649,,,
10,0.014976429753005505,0.004757166374474764,,,,,659,,,
10,0.015221384353935719,0.0044875722378492355,,,,,669,,,
10,0.09794854372739792,0.031911611557006836,,,,,679,,,
10,0.09038056433200836,0.02937152422964573,,,,,689,,,
10,0.020686477422714233,0.006282510701566935,,,,,699,,,
10,,,,,,,703,,,0.12866994738578796
10,,,0.5187380313873291,0.005442448426038027,0.010884896852076054,,703,,0.11082275956869125,
,,,,,,0.0009925621084143099,704,,,
11,,,,,,,767,,,0.11930841207504272
11,,,0.5026676654815674,0.005761569831520319,0.011523139663040638,,767,,0.10802357643842697,
,,,,,,0.0009911524817389804,768,,,
12,,,,,,,831,,,0.1078525185585022
12,,,0.5174586176872253,0.005816626362502575,0.01163325272500515,,831,,0.11105336248874664,
,,,,,,0.0009896217939055723,832,,,
13,,,,,,,895,,,0.11068722605705261
13,,,0.4954666197299957,0.005457740277051926,0.010915480554103851,,895,,0.10618842393159866,
,,,,,,0.0009879704225884047,896,,,
14,,,,,,,959,,,0.10905413329601288
14,,,0.49277663230895996,0.005360889248549938,0.010721778497099876,,959,,0.1055244579911232,
,,,,,,0.0009861987752386398,960,,,
15,,,,,,,1023,,,0.10618012398481369
15,,,0.5284945964813232,0.005265473388135433,0.010530946776270866,,1023,,0.11254405975341797,
,,,,,,0.0009843072889837514,1024,,,
16,,,,,,,1087,,,0.1165531575679779
16,,,0.5255823731422424,0.005338109564036131,0.010676219128072262,,1087,,0.11205600202083588,
,,,,,,0.0009822964305196704,1088,,,
17,,,,,,,1151,,,0.11233504861593246
17,,,0.5090116858482361,0.005388672463595867,0.010777344927191734,,1151,,0.10880761593580246,
,,,,,,0.0009801666959956333,1152,,,
18,,,,,,,1215,,,0.10932624340057373
18,,,0.5189708471298218,0.005306024104356766,0.010612048208713531,,1215,,0.11069203168153763,
,,,,,,0.0009779186108917661,1216,,,
19,,,,,,,1279,,,0.10843034088611603
19,,,0.5179339647293091,0.005293304566293955,0.01058660913258791,,1279,,0.11046808958053589,
,,,,,,0.0009755527298894296,1280,,,
20,0.10800780355930328,0.030351875349879265,,,,,1289,,,
20,0.015436649322509766,0.004904401488602161,,,,,1299,,,
20,0.028622308745980263,0.009212266653776169,,,,,1309,,,
20,0.04471966251730919,0.015292488038539886,,,,,1319,,,
20,0.02947847731411457,0.010109944269061089,,,,,1329,,,
20,0.020958788692951202,0.006313968915492296,,,,,1339,,,
20,,,,,,,1343,,,0.11311030387878418
20,,,0.5099283456802368,0.005088339559733868,0.010176679119467735,,1343,,0.10860051214694977,
,,,,,,0.0009730696367343592,1344,,,
21,,,,,,,1407,,,0.1200924813747406
21,,,0.5104717016220093,0.005104825831949711,0.010209651663899422,,1407,,0.10873059928417206,
,,,,,,0.0009704699440926359,1408,,,
22,,,,,,,1471,,,0.09686628729104996
22,,,0.5044166445732117,0.005371641367673874,0.010743282735347748,,1471,,0.10786647349596024,
,,,,,,0.0009677542933995191,1472,,,
23,,,,,,,1535,,,0.0956757590174675
23,,,0.5291601419448853,0.005609728861600161,0.011219457723200321,,1535,,0.11312466859817505,
,,,,,,0.0009649233547011819,1536,,,
24,,,,,,,1599,,,0.09984266757965088
24,,,0.519963800907135,0.005303618032485247,0.010607236064970493,,1599,,0.11088746786117554,
,,,,,,0.000961977826489388,1600,,,
25,,,,,,,1663,,,0.09650273621082306
25,,,0.5009406805038452,0.005155539605766535,0.01031107921153307,,1663,,0.10689033567905426,
,,,,,,0.0009589184355291488,1664,,,
26,,,,,,,1727,,,0.10335056483745575
26,,,0.4888126254081726,0.005151471123099327,0.010302942246198654,,1727,,0.10445946455001831,
,,,,,,0.0009557459366794051,1728,,,
27,,,,,,,1791,,,0.10748053342103958
27,,,0.4977870285511017,0.005084502510726452,0.010169005021452904,,1791,,0.1061672568321228,
,,,,,,0.000952461112706777,1792,,,
28,,,,,,,1855,,,0.11836902052164078
28,,,0.5063283443450928,0.00505847530439496,0.01011695060878992,,1855,,0.10784170031547546,
,,,,,,0.0009490647740924278,1856,,,
29,,,,,,,1919,,,0.11429129540920258
29,,,0.5293662548065186,0.005195561330765486,0.010391122661530972,,1919,,0.1126275286078453,
,,,,,,0.00094555775883209,1920,,,
30,0.10062459111213684,0.028105488047003746,,,,,1929,,,
30,0.05368953198194504,0.016950314864516258,,,,,1939,,,
30,0.006027118302881718,0.0023354473523795605,,,,,1949,,,
30,0.010769590735435486,0.0035844920203089714,,,,,1959,,,
30,0.02861427329480648,0.010029790922999382,,,,,1969,,,
30,0.0451589860022068,0.012537408620119095,,,,,1979,,,
30,,,,,,,1983,,,0.1107083186507225
30,,,0.5213640332221985,0.005247388035058975,0.01049477607011795,,1983,,0.1110944077372551,
,,,,,,0.0009419409322293028,1984,,,
31,,,,,,,2047,,,0.11239123344421387
31,,,0.5263388752937317,0.005203685723245144,0.010407371446490288,,2047,,0.11203254759311676,
,,,,,,0.0009382151866819101,2048,,,
32,,,,,,,2111,,,0.11320117861032486
32,,,0.49438658356666565,0.005154444836080074,0.010308889672160149,,2111,,0.10557810962200165,
,,,,,,0.0009343814414618769,2112,,,
33,,,,,,,2175,,,0.10806018114089966
33,,,0.5176994800567627,0.005185310263186693,0.010370620526373386,,2175,,0.1102808341383934,
,,,,,,0.0009304406424884702,2176,,,
34,,,,,,,2239,,,0.09125890582799911
34,,,0.5087995529174805,0.005029735155403614,0.010059470310807228,,2239,,0.10829859226942062,
,,,,,,0.0009263937620948695,2240,,,
35,,,,,,,2303,,,0.10294636338949203
35,,,0.5305790901184082,0.0047926511615514755,0.009585302323102951,,2303,,0.11234624683856964,
,,,,,,0.000922241798788257,2304,,,
36,,,,,,,2367,,,0.12752124667167664
36,,,0.5031753778457642,0.004741788376122713,0.009483576752245426,,2367,,0.10679941624403,
,,,,,,0.0009179857770034514,2368,,,
37,,,,,,,2431,,,0.11222147196531296
37,,,0.5348009467124939,0.004878284875303507,0.009756569750607014,,2431,,0.11330196261405945,
,,,,,,0.000913626746850144,2432,,,
38,,,,,,,2495,,,0.12096019834280014
38,,,0.5172082185745239,0.004923551809042692,0.009847103618085384,,2495,,0.10984226316213608,
,,,,,,0.0009091657838537996,2496,,,
39,,,,,,,2559,,,0.12452460825443268
39,,,0.5459803342819214,0.004906899761408567,0.009813799522817135,,2559,,0.11557503044605255,
,,,,,,0.0009046039886902867,2560,,,
40,0.0724603533744812,0.019907521083950996,,,,,2569,,,
40,0.053027380257844925,0.017180653288960457,,,,,2579,,,
40,0.005453665275126696,0.0019353698007762432,,,,,2589,,,
40,0.013397298753261566,0.00530224246904254,,,,,2599,,,
40,0.04002560302615166,0.012846038676798344,,,,,2609,,,
40,0.008485752157866955,0.0035503217950463295,,,,,2619,,,
40,,,,,,,2623,,,0.12560322880744934
40,,,0.5398672819137573,0.004882638808339834,0.009765277616679668,,2623,,0.11432088166475296,
,,,,,,0.0008999424869143022,2624,,,
41,,,,,,,2687,,,0.13751770555973053
41,,,0.5037475228309631,0.0050463019870221615,0.010092603974044323,,2687,,0.10730969905853271,
,,,,,,0.0008951824286816577,2688,,,
42,,,,,,,2751,,,0.14751489460468292
42,,,0.5078520178794861,0.005070905201137066,0.010141810402274132,,2751,,0.10816257447004318,
,,,,,,0.0008903249884654961,2752,,,
