model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
bilstm,BTC,1d,0,0.11274435371160507,0.0856507420539856,0.005133486715028981,2.34
bilstm,BTC,1d,1,0.1025916188955307,0.12412723153829575,0.005091350877927098,1.96
bilstm,BTC,1d,2,0.10553912818431854,0.11459662020206451,0.005021637614161981,1.86
bilstm,BTC,1d,3,0.0998573899269104,0.10273458808660507,0.004925110716839877,1.9
bilstm,BTC,1d,4,0.09745141863822937,0.08077846467494965,0.004802827754847402,1.91
bilstm,BTC,1d,5,0.0953274667263031,0.10688221454620361,0.004656128485905498,1.95
bilstm,BTC,1d,6,0.09718922525644302,0.07667907327413559,0.004486620177903488,2.05
bilstm,BTC,1d,7,0.09608879685401917,0.061262406408786774,0.004296159999335737,1.99
bilstm,BTC,1d,8,0.09344128519296646,0.06838364154100418,0.004086834671774988,2.11
bilstm,BTC,1d,9,0.09409777820110321,0.12536323070526123,0.003860937607314137,1.89
bilstm,BTC,1d,10,0.09347604215145111,0.06420763581991196,0.0036209437814634176,2.37
bilstm,BTC,1d,11,0.09446148574352264,0.10216471552848816,0.0033694826168007854,2.09
bilstm,BTC,1d,12,0.09526491165161133,0.10272511094808578,0.003109309174467917,2.01
bilstm,BTC,1d,13,0.09271784871816635,0.09446927905082703,0.002843273969143805,1.96
bilstm,BTC,1d,14,0.08665639907121658,0.09513465315103531,0.0025742917382094253,2.04
bilstm,BTC,1d,15,0.09239353984594345,0.09330859780311584,0.002305309507275045,1.22
bilstm,BTC,1d,16,0.08857390284538269,0.08255366235971451,0.002039274301950932,1.88
bilstm,BTC,1d,17,0.08198697119951248,0.0730714499950409,0.001779100859618064,2.01
