model,asset,interval,epoch,train_loss,val_loss,lr,epoch_time
attention_lstm,BTC,1d,0,0.10320736467838287,0.09921539574861526,0.00045971863086957904,2.81
attention_lstm,BTC,1d,1,0.10235705971717834,0.09995879232883453,0.00045595271883140046,2.29
attention_lstm,BTC,1d,2,0.10214225202798843,0.099398173391819,0.0004497220601500747,2.44
attention_lstm,BTC,1d,3,0.10144246369600296,0.09943642467260361,0.00044109491922596347,2.57
attention_lstm,BTC,1d,4,0.1015799343585968,0.09897914528846741,0.00043016581682037684,2.72
attention_lstm,BTC,1d,5,0.10146871209144592,0.09859451651573181,0.00041705449446633185,2.58
attention_lstm,BTC,1d,6,0.10112649947404861,0.09904704988002777,0.0004019046025552601,2.25
attention_lstm,BTC,1d,7,0.10075020045042038,0.09892965853214264,0.00038488212647325805,2.45
attention_lstm,BTC,1d,8,0.10111156851053238,0.09839948266744614,0.00036617356803046215,2.38
attention_lstm,BTC,1d,9,0.10044348239898682,0.09812331199645996,0.0003459839021081893,2.53
