epoch,grad_norm_max,grad_norm_mean,loss_dir,loss_huber,loss_mse,lr-Adam,step,test_loss,train_loss,val_loss
,,,,,,0.001,0,,,
0,0.08881567418575287,0.02312898077070713,,,,,9,,,
0,0.043423842638731,0.01246310118585825,,,,,19,,,
0,0.10202163457870483,0.02374940738081932,,,,,29,,,
0,0.2165713608264923,0.07541146874427795,,,,,39,,,
0,0.19661083817481995,0.07514698803424835,,,,,49,,,
0,0.29031628370285034,0.07945941388607025,,,,,59,,,
0,,,,,,,63,,,0.4286554157733917
0,,,0.5219095349311829,0.010320269502699375,0.02064053900539875,,63,,0.11779823899269104,
,,,,,,0.0009046039886902864,64,,,
1,,,,,,,127,,,0.44781604409217834
1,,,0.5544442534446716,0.01850929670035839,0.03701859340071678,,127,,0.1349509358406067,
,,,,,,0.0006548539886902863,128,,,
2,,,,,,,191,,,0.43187299370765686
2,,,0.5669371485710144,0.026261456310749054,0.05252291262149811,,191,,0.1475273072719574,
,,,,,,0.0003461460113097138,192,,,
3,,,,,,,255,,,0.23141036927700043
3,,,0.5489729046821594,0.022840410470962524,0.04568082094192505,,255,,0.1394871473312378,
,,,,,,9.639601130971379e-05,256,,,
4,,,,,,,319,,,0.2297883778810501
4,,,0.5550347566604614,0.01626415364444256,0.03252830728888512,,319,,0.1321503221988678,
5,,,,,,,320,0.5130716562271118,,
